Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
Administração Regional de Samambaia;9114;203616;Material;24;Material para Manutenção de Bens Imóveis/Instalações;Outros;Material;30.24.00.001;Aglutinantes e agregadores;;;3.3.90.30.24.00.001.31280;Argamassa de uso geral ACIII, indicada para assentamento de alvenaria sem função estrutural e revestimento de paredes e tetos internos e externos - saco 20 kg;sco;70,0000;25,0000;1750,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203617;Material;24;Material para Manutenção de Bens Imóveis/Instalações;Outros;Material;30.24.00.009;Espelhos e materiais para vidraçaria;;;3.3.90.30.24.00.009.31837;Portas de Vidro Temperado Fumê:

Quantidade: 1 porta automática deslizante e 2 portas pivotantes.
Espessura do vidro: 10mm.
Tipo de abertura: .1 porta automática deslizante e 2 portas pivotantes.
Dimensões das portas: Pota automática ( L x C, 6,00m x 3,17m) e pivotante (L x C, 1,00m x 2,10m).
Acessórios incluídos: Puxadores em aço inox, fechaduras e dobradiças reforçadas.;m²;13,0000;3500,0000;45500,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203618;Material;14;Material Educativo e Esportivo para Estoque no Órgão;Outros;Material;30.14.00.007;Material para atividade educativas, área promocional/publicidade;;;3.3.90.30.14.00.007.31873;TATAME EM EVA. Aplicação: Apoio pedagógico em atividades infantis. Características Técnicas Mínimas: Kit 10 placas coloridas 50x50x3cm, fabricação em espuma de EVA, encaixes com bordas em arremates, lavável, atóxico, antiderrapante. Unidade de Estoque: Kit com 10 Unidades: Demais especificações conforme Termo de Referência. Unidade de Fornecimento Kit.;kit;50,0000;102,0000;5100,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203619;Material;24;Equipamento de Proteção, Segurança e Socorro;Outros;Material;52.24.00.002;Equipamentos de segurança;;;4.4.90.52.24.00.002.32928;Catraca Eletrônica. Conjunto Controle Acesso Área Restrita. Aplicação: sistema de segurança e controle de acesso, características adicionais: sistema eletro-magnético, componentes: catraca bidirecional com leitor de cartão, cofre c, material: aço inox, tipo catraca: rotativa Catraca Eletronica Leitura: Proximidade rfid 125k, Senha, Reconhecimento facial de 3 mil (ou superior) Faces com hardware facial incluso, Leitor biométrico com armazenamento de até 10.000 digitais, Braços em Inox, Comunicação tc/pip (TCP/IP 10/100);un;2,0000;3500,0000;7000,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203620;Material;35;Equipamentos de Microinformática;Outros;Material;52.35.00.003;Equipamentos de microinformática;;;4.4.90.52.35.00.003.34272;Maquinas DESKTOP: Processador Intel CORE i5 ou CORE i7 10ª Geração ou posterior, Windows 11 (64 bits), 16GB de RAM (mínimo 8GB), SSD 256GB, GPU: OpenGL 4.X, Adaptador de vídeo: Intel UHD Graphics ou Intel Iris Plus.;un;127,0000;1538,0000;195451,7300;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203621;Material;21;Material de Copa e Cozinha;Outros;Material;30.21.00.001;Material e utensílio para copa e cozinha;;;3.3.90.30.21.00.001.34798;TRAVESSA ASSADEIRA, Descrição: refratárias alça 3 unidade porcelana branca (retangular, oval, redondo), com tamanho de 600 ml, 1 litro e 1,4 litros.;conj;20,0000;55,0000;1100,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203622;Material;21;Material de Copa e Cozinha;Outros;Material;30.21.00.001;Material e utensílio para copa e cozinha;;;3.3.90.30.21.00.001.34807;SUQUEIRA, Descrição: com torneira, em vidro, capacidade mínima de 4 litros;l;1,0000;200,0000;200,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203623;Serviço;20;Manutenção e Conservação de Bens Móveis;Outros;Serviço;39.20.00.001;Serviços de manutenção e conservação de bens móveis;;;3.3.90.39.20.00.001.35596;SERVIÇO DE MANUTENÇÃO DE BEBEDOURO PARA GARRAFÃO, Descrição: realização de 3 manutenções preventivas e corretivas, incluindo peças, acessórios e componentes, com garantia de 4 meses cada, em bebedouro para garrafão de 20 litros, água natural e gelada, elétrico, gabinete tipo coluna em aço, com 2 torneiras de plástico.;srvc;33,0000;500,0000;16500,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203624;Serviço;17;Manutenção, Conservação e Instalação de Máquinas e Equipamentos Elétricos e Eletrônicos;Outros;Serviço;39.17.00.011;Serviços de manutenção, instalação e conservação de equipamentos de proteção e segeurança;;;3.3.90.39.17.00.011.35809;SERVIÇO DE INSTALAÇÃO, Descrição: Instalação - Tipo: Janela de 7.000 a 23.000 BTU's.;srvc;6,0000;200,0000;1200,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203625;Serviço;17;Manutenção, Conservação e Instalação de Máquinas e Equipamentos Elétricos e Eletrônicos;Outros;Serviço;39.17.00.011;Serviços de manutenção, instalação e conservação de equipamentos de proteção e segeurança;;;3.3.90.39.17.00.011.35810;SERVIÇO DE DESINSTALAÇÃO, Descrição: Desinstalação - Tipo: Janela de 7.000 a 23.000 BTU's.;srvc;6,0000;200,0000;1200,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203626;Serviço;17;Manutenção, Conservação e Instalação de Máquinas e Equipamentos Elétricos e Eletrônicos;Outros;Serviço;39.17.00.011;Serviços de manutenção, instalação e conservação de equipamentos de proteção e segeurança;;;3.3.90.39.17.00.011.35813;SERVIÇO DE DESINSTALAÇÃO, Descrição: Desinstalação - Tipo: Split de 7.000 a 23.000 BTU's.;srvc;3,0000;200,0000;600,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203627;Serviço;17;Manutenção, Conservação e Instalação de Máquinas e Equipamentos Elétricos e Eletrônicos;Outros;Serviço;39.17.00.011;Serviços de manutenção, instalação e conservação de equipamentos de proteção e segeurança;;;3.3.90.39.17.00.011.35815;SERVIÇO DE INSTALAÇÃO, Descrição: Instalação - Tipo: Split de 24.000 a 36.000 BTU's.;srvc;3,0000;200,0000;600,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203628;Serviço;17;Manutenção, Conservação e Instalação de Máquinas e Equipamentos Elétricos e Eletrônicos;Outros;Serviço;39.17.00.014;Serviços de manutenção preditiva, Preventiva e corretiva de equipamentos;;;3.3.90.39.17.00.014.35816;SERVIÇO DE MANUTENÇÃO CORRETIVA, Descrição: manutenção corretiva, sob demanda, em equipamentos de ar condicionado tipo split, tecnologia convencional ou inverter, de 7.000 a 23.000 BTUs, incluindo peças e recarga de gás.;srvc;6,0000;150,0000;900,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203629;Serviço;17;Manutenção, Conservação e Instalação de Máquinas e Equipamentos Elétricos e Eletrônicos;Outros;Serviço;39.17.00.014;Serviços de manutenção preditiva, Preventiva e corretiva de equipamentos;;;3.3.90.39.17.00.014.35818;SERVIÇO DE MANUTENÇÃO CORRETIVA, Descrição: manutenção corretiva, sob demanda, em equipamentos de ar condicionado tipo janela de 7.000 a 23.000 BTUs, incluindo peças e recarga de gás.;srvc;12,0000;150,0000;1800,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203630;Serviço;17;Manutenção, Conservação e Instalação de Máquinas e Equipamentos Elétricos e Eletrônicos;Outros;Serviço;39.17.00.014;Serviços de manutenção preditiva, Preventiva e corretiva de equipamentos;;;3.3.90.39.17.00.014.35820;SERVIÇO DE MANUTENÇÃO CORRETIVA, Descrição: manutenção corretiva, sob demanda, em equipamentos de ar condicionado tipo janela de 24.000 a 36.000 BTUs, incluindo peças e recarga de gás.;srvc;5,0000;120,0000;600,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203631;Serviço;17;Manutenção, Conservação e Instalação de Máquinas e Equipamentos Elétricos e Eletrônicos;Outros;Serviço;39.17.00.014;Serviços de manutenção preditiva, Preventiva e corretiva de equipamentos;;;3.3.90.39.17.00.014.35821;SERVIÇO DE MANUTENÇÃO PREVENTIVA, Descrição: manutenção preventiva, mensal, pelo período de 12 meses, em equipamentos de ar condicionado tipo Split, tecnologia convencional ou inverter, de 7.000 a 23.000 BTUs.;srvc;6,0000;150,0000;900,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203632;Serviço;17;Manutenção, Conservação e Instalação de Máquinas e Equipamentos Elétricos e Eletrônicos;Outros;Serviço;39.17.00.014;Serviços de manutenção preditiva, Preventiva e corretiva de equipamentos;;;3.3.90.39.17.00.014.35823;SERVIÇO DE MANUTENÇÃO PREVENTIVA, Descrição: manutenção preventiva, mensal, pelo período de 12 meses, em equipamentos de ar condicionado tipo janela, de 7.000 a 23.000 BTUs.;srvc;12,0000;150,0000;1800,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203633;Serviço;17;Manutenção, Conservação e Instalação de Máquinas e Equipamentos Elétricos e Eletrônicos;Outros;Serviço;39.17.00.014;Serviços de manutenção preditiva, Preventiva e corretiva de equipamentos;;;3.3.90.39.17.00.014.35824;SERVIÇO DE MANUTENÇÃO PREVENTIVA, Descrição: manutenção preventiva, mensal, pelo período de 12 meses, em equipamentos de ar condicionado tipo janela, de 24.000 a 36.000 BTUs.;srvc;5,0000;120,0000;600,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203634;Material;19;Material de Acondicionamento e Embalagem;Outros;Material;30.19.00.002;Acondicionamento em geral;;;3.3.90.30.19.00.002.36055;CAIXA, Descrição: Organizadoras Multiuso 78 Litros Com Roda Cor Transparente Liso, Comprimento x Largura x Altura 58 cm x 35 cm x 38 cm, Capacidade em peso
30 kg Material de plástico.;un;20,0000;93,0000;1875,0000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203635;Material;16;Material de Expediente;Outros;Material;30.16.00.001;Material de uso administrativo;;;3.3.90.30.16.00.001.36227;REABASTECEDOR DE PINCEL, Descrição: para quadro branco, corpo plástico, cor verde. Unidade de Fornecimento: tubo com no mínimo 20ml.;tb;5,0000;9,0000;49,5000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203636;Material;16;Material de Expediente;Outros;Material;30.16.00.001;Material de uso administrativo;;;3.3.90.30.16.00.001.36635;Apagador quadro branco, material corpo: plástico, material base: feltro, aplicação: quadro magnético, com sistema flip top para guardar os marcadores, e demais especificações do Edital e seus anexos.;un;30,0000;7,0000;239,7000;0,0000;02/09/2026
Administração Regional de Samambaia;9114;203637;Material;52;Veículos de Tração Mecânica;Outros;Material;52.52.00.004;Veículos especiais;;;4.4.90.52.52.00.004.36724;ROLO COMPACTADOR, COM PATAS. Descrição: Zero Km, zero hora, fabricado no ano em curso, com motor a diesel, mínimo de 4 cilindros,4 tempos, injeção direta e turbo alimentado, potência bruta mínima de 100 CV (73,55 KW), refrigeração forçada à água,certi fi cação mínima conforme Resolução Proconve nº 433 - MAR-I (Máquinas Agrícolas e Rodoviárias-I), diâmetro mínimo docilindro compactador: 1.400 mm, largura mínima do cilindro: 2.100mm. Característi cas adicionais:
